Thí nghiệm,Kích thước,Detected,Missed,Total,Recall
Baseline,small,247,228,475,0.52
Baseline,medium,135,11,146,0.9247
Baseline,large,94,12,106,0.8868
TN1_LowConf,small,268,207,475,0.5642
TN1_LowConf,medium,136,10,146,0.9315
TN1_LowConf,large,95,11,106,0.8962
TN2_SAHI,small,248,227,475,0.5221
TN2_SAHI,medium,124,22,146,0.8493
TN2_SAHI,large,89,17,106,0.8396
TN3_SAHI+LowConf,small,247,228,475,0.52
TN3_SAHI+LowConf,medium,123,23,146,0.8425
TN3_SAHI+LowConf,large,89,17,106,0.8396
TN4_YOLO26s,small,165,310,475,0.3474
TN4_YOLO26s,medium,118,28,146,0.8082
TN4_YOLO26s,large,84,22,106,0.7925
